date,PERIOD,P,I,N,A,IBP,D10,D30,D50,D70,D90,FBP,DEN,DS,FEED,DS_RATIO,COT,CIT,CIP,COP,H2,CH4,C2H4,C2H6,C3H6,C3H8
2020/1/30 9:00,0.809398099,38.67288882,39.65366205,15.26931814,6.39413228,34.66435744,63.27502708,84.92163022,102.4448611,123.5632257,174.0118841,209.5759405,712.5500519,21.32420467,38036.31618,0.560627495,817.595318,592.4247321,197.4348432,46.30043151,13.75126002,27.49846045,32.40177663,3.723791397,11.07712254,0.341364423
2020/1/30 10:00,0.809926082,38.68010527,39.6438055,15.27550613,6.390582712,34.66903318,63.28671735,84.93993263,102.45886,123.5909766,174.0935944,209.5584244,712.55731,21.32773228,38035.73888,0.560728749,817.4706343,592.4892853,197.5543006,46.30883108,13.74283193,27.45209337,32.3275208,3.702581869,11.06750601,0.340866012
2020/1/30 11:00,0.810454065,38.70442511,39.60685552,15.276671,6.402048349,34.69374345,63.29864877,84.9701444,102.4912839,123.6654681,174.1933444,209.5671405,712.5749268,21.31773191,38035.15692,0.560474404,817.2674753,592.3567349,197.5032477,46.44689928,13.71590741,27.38313105,32.26037486,3.694894645,11.02191858,0.340197794
2020/1/30 12:00,0.810982049,38.73664207,39.56571846,15.28214053,6.40549794,34.71211821,63.30966161,85.01313349,102.5319599,123.7296382,174.365213,209.5496122,712.5932953,21.3341488,38034.35701,0.560917825,816.9821868,592.0688342,197.4108213,46.27379588,13.6944763,27.32044382,32.18873501,3.694148145,11.01204556,0.339529576
2020/1/30 13:00,0.811510032,38.75525621,39.54063918,15.28178703,6.412317483,34.73452435,63.32469463,85.05779737,102.571212,123.7967482,174.5435443,209.5410934,712.613146,21.33786973,38034.6065,0.561011975,816.7643722,591.9049024,197.1457157,46.52188941,13.65569934,27.2643013,32.13924654,3.70789885,11.0170496,0.338861357
2020/1/30 14:00,0.812038015,38.77847385,39.51031513,15.28351232,6.417697827,34.74345709,63.32513529,85.11026878,102.6100114,123.832948,174.7202276,209.5055473,712.633137,21.33097736,38034.5847,0.560831084,816.6047632,591.656713,197.4789003,46.78617825,13.67052826,27.26522881,32.12207069,3.714196553,10.98368106,0.33817768
2020/1/30 15:00,0.812565998,38.81726933,39.46035322,15.28404592,6.428331526,34.75557486,63.33001366,85.16440659,102.6562724,123.8722375,174.8824135,209.4737414,712.6551768,21.33442095,38035.69282,0.560905281,816.3409123,591.6423178,197.3988342,46.88309755,13.67514036,27.25634048,32.12208782,3.720770701,10.99667947,0.337274943
2020/1/30 16:00,0.813093981,38.83939311,39.43756173,15.27434999,6.438694493,34.75537198,63.33219992,85.21960805,102.6988819,123.8944883,174.9850352,209.4420616,712.674763,21.33749793,38035.17067,0.560993879,816.1877255,591.5393767,197.3127528,46.99500544,13.68319993,27.23995733,32.10334562,3.731754839,11.00999231,0.336825683
2020/1/30 17:00,0.813621964,38.86382459,39.42122065,15.26839921,6.436556069,34.74807555,63.32657744,85.25346527,102.7273031,123.8852882,174.9846853,209.4087914,712.6849854,21.31251178,38032.19786,0.560380756,815.9973525,591.3028016,197.093124,46.67048336,13.70552609,27.28118954,32.18527899,3.736758312,11.0506536,0.33780553
2020/1/30 18:00,0.814149947,38.85553557,39.43300451,15.27790701,6.423553069,34.69929136,63.30540244,85.26159325,102.709756,123.7767406,174.9690109,209.3589249,712.6732218,21.32586906,38037.91137,0.56064774,815.9384549,591.5793765,197.0770614,46.40364726,13.79582827,27.40701748,32.31885048,3.732830322,11.09480538,0.338866229
2020/1/30 19:00,0.81467793,38.86566359,39.41334623,15.28423047,6.426759505,34.67457593,63.30435899,85.27339172,102.7076497,123.7462016,174.903432,209.3204379,712.6736654,21.31982304,38037.81205,0.560490257,815.9909083,591.9540698,197.1690898,46.12252019,13.77983414,27.41705241,32.33346311,3.719109231,11.07855109,0.339825877
2020/1/30 20:00,0.815205913,38.87344386,39.4003444,15.28957872,6.426632754,34.65606556,63.30393429,85.28033689,102.7046904,123.7127419,174.8467756,209.2981725,712.6715057,21.3164758,38033.13793,0.56047113,816.039394,591.9539272,197.1844165,46.11541597,13.75277104,27.39794161,32.31599542,3.72071138,11.07453913,0.340562843
